indexSequence,HydrophobicZ1,HydrophobicZ2,HydrophobicZ3,HydrophobicZ4,HydrophobicZ5,HydrophilicityZ1,HydrophilicityZ2,HydrophilicityZ3,HydrophilicityZ4,HydrophilicityZ5,HydrophobicityZ1,HydrophobicityZ2,HydrophobicityZ3,HydrophobicityZ4,HydrophobicityZ5
CHR-1-Sequence-44,11.673151751,33.4630350195,54.4747081712,0.389105058366,0.0,13.6186770428,36.5758754864,49.4163424125,0.389105058366,0.0,7.00389105058,27.626459144,65.3696498054,0.0,0.0
CHR-1-Sequence-45,12.8404669261,33.0739299611,53.6964980545,0.389105058366,0.0,12.8404669261,37.7431906615,49.4163424125,0.0,0.0,6.61478599222,36.186770428,56.8093385214,0.0,0.389105058366
CHR-1-Sequence-48,24.9027237354,28.4046692607,46.3035019455,0.389105058366,0.0,21.0116731518,41.6342412451,37.3540856031,0.0,0.0,12.0622568093,37.3540856031,49.0272373541,1.1673151751,0.389105058366
CHR-1-Sequence-51,23.7354085603,31.5175097276,44.7470817121,0.0,0.0,23.3463035019,38.9105058366,37.7431906615,0.0,0.0,17.1206225681,28.4046692607,53.6964980545,0.778210116732,0.0
CHR-1-Sequence-52,20.6225680934,32.2957198444,46.6926070039,0.389105058366,0.0,20.6225680934,38.1322957198,40.8560311284,0.0,0.389105058366,8.94941634241,37.7431906615,53.3073929961,0.0,0.0
CHR-1-Sequence-59,20.6225680934,29.1828793774,49.8054474708,0.389105058366,0.0,19.4552529183,38.1322957198,42.4124513619,0.0,0.0,11.673151751,38.5214007782,49.8054474708,0.0,0.0
CHR-1-Sequence-60,16.3424124514,26.8482490272,55.6420233463,1.1673151751,0.0,15.5642023346,37.3540856031,47.0817120623,0.0,0.0,8.94941634241,29.5719844358,60.7003891051,0.778210116732,0.0
CHR-1-Sequence-61,19.4552529183,38.5214007782,41.2451361868,0.778210116732,0.0,24.1245136187,42.0233463035,33.4630350195,0.389105058366,0.0,17.1206225681,31.5175097276,50.9727626459,0.389105058366,0.0
CHR-1-Sequence-63,11.2840466926,29.9610894942,58.3657587549,0.389105058366,0.0,12.4513618677,37.3540856031,50.1945525292,0.0,0.0,7.39299610895,31.1284046693,61.0894941634,0.389105058366,0.0
CHR-1-Sequence-66,23.3463035019,33.4630350195,42.4124513619,0.778210116732,0.0,26.4591439689,38.1322957198,35.4085603113,0.0,0.0,16.7315175097,31.906614786,50.9727626459,0.0,0.389105058366
CHR-1-Sequence-67,11.673151751,29.5719844358,57.9766536965,0.778210116732,0.0,9.33852140078,33.8521400778,56.8093385214,0.0,0.0,2.72373540856,27.626459144,68.8715953307,0.778210116732,0.0
CHR-1-Sequence-68,0.0,11.2840466926,87.9377431907,0.778210116732,0.0,0.0,17.5097276265,82.4902723735,0.0,0.0,0.389105058366,4.28015564202,94.9416342412,0.389105058366,0.0
CHR-1-Sequence-69,16.3424124514,30.7392996109,52.5291828794,0.389105058366,0.0,15.1750972763,36.9649805447,47.859922179,0.0,0.0,8.17120622568,33.8521400778,57.9766536965,0.0,0.0
CHR-1-Sequence-70,5.83657587549,26.0700389105,68.093385214,0.0,0.0,8.56031128405,31.906614786,59.53307393,0.0,0.0,3.50194552529,27.2373540856,68.8715953307,0.389105058366,0.0
CHR-1-Sequence-71,22.1789883268,30.7392996109,45.9143968872,1.1673151751,0.0,25.2918287938,41.2451361868,33.4630350195,0.0,0.0,14.3968871595,35.7976653696,49.0272373541,0.778210116732,0.0
CHR-1-Sequence-72,4.28015564202,23.7354085603,71.9844357977,0.0,0.0,8.56031128405,35.0194552529,56.420233463,0.0,0.0,0.778210116732,17.8988326848,80.5447470817,0.778210116732,0.0
CHR-1-Sequence-73,12.4513618677,21.7898832685,65.7587548638,0.0,0.0,10.8949416342,33.8521400778,54.8638132296,0.389105058366,0.0,6.61478599222,27.626459144,64.9805447471,0.778210116732,0.0
CHR-1-Sequence-74,21.4007782101,29.5719844358,48.6381322957,0.389105058366,0.0,24.1245136187,37.7431906615,38.1322957198,0.0,0.0,12.4513618677,28.7937743191,58.7548638132,0.0,0.0
CHR-1-Sequence-76,13.6186770428,33.0739299611,52.5291828794,0.778210116732,0.0,16.7315175097,38.1322957198,45.1361867704,0.0,0.0,5.83657587549,29.5719844358,64.2023346304,0.389105058366,0.0
CHR-1-Sequence-78,23.7354085603,32.2957198444,43.579766537,0.389105058366,0.0,18.6770428016,41.2451361868,40.0778210117,0.0,0.0,20.233463035,34.2412451362,44.3579766537,0.778210116732,0.389105058366
CHR-1-Sequence-79,15.1750972763,30.7392996109,52.9182879377,1.1673151751,0.0,15.5642023346,34.6303501946,49.8054474708,0.0,0.0,9.72762645914,33.4630350195,56.0311284047,0.778210116732,0.0
CHR-1-Sequence-83,10.1167315175,26.8482490272,62.6459143969,0.389105058366,0.0,8.56031128405,33.0739299611,58.3657587549,0.0,0.0,7.00389105058,27.2373540856,65.3696498054,0.389105058366,0.0
CHR-1-Sequence-84,14.0077821012,32.2957198444,53.3073929961,0.389105058366,0.0,14.3968871595,33.8521400778,51.7509727626,0.0,0.0,6.22568093385,31.5175097276,61.8677042802,0.389105058366,0.0
CHR-1-Sequence-85,0.0,9.72762645914,89.4941634241,0.778210116732,0.0,0.778210116732,12.8404669261,86.3813229572,0.0,0.0,0.0,2.33463035019,96.8871595331,0.778210116732,0.0
CHR-1-Sequence-86,17.1206225681,33.8521400778,48.2490272374,0.778210116732,0.0,17.5097276265,40.46692607,42.0233463035,0.0,0.0,15.953307393,31.5175097276,52.5291828794,0.0,0.0
CHR-1-Sequence-87,2.33463035019,20.6225680934,76.2645914397,0.778210116732,0.0,4.28015564202,31.1284046693,64.5914396887,0.0,0.0,0.389105058366,12.0622568093,86.7704280156,0.778210116732,0.0
CHR-1-Sequence-91,21.0116731518,29.9610894942,49.0272373541,0.0,0.0,19.8443579767,38.5214007782,41.6342412451,0.0,0.0,11.673151751,29.5719844358,58.3657587549,0.389105058366,0.0
CHR-1-Sequence-92,15.953307393,31.906614786,51.3618677043,0.778210116732,0.0,15.1750972763,39.6887159533,45.1361867704,0.0,0.0,8.94941634241,29.9610894942,60.7003891051,0.389105058366,0.0
CHR-1-Sequence-93,3.11284046693,22.9571984436,73.5408560311,0.389105058366,0.0,6.61478599222,31.1284046693,62.2568093385,0.0,0.0,1.55642023346,17.5097276265,80.5447470817,0.389105058366,0.0
CHR-1-Sequence-94,19.8443579767,40.46692607,38.5214007782,1.1673151751,0.0,23.7354085603,41.2451361868,35.0194552529,0.0,0.0,10.8949416342,38.1322957198,50.1945525292,0.778210116732,0.0
CHR-1-Sequence-97,25.6809338521,30.3501945525,42.8015564202,1.1673151751,0.0,24.1245136187,37.7431906615,38.1322957198,0.0,0.0,18.6770428016,31.1284046693,48.6381322957,1.1673151751,0.389105058366
CHR-1-Sequence-98,11.2840466926,25.2918287938,62.6459143969,0.778210116732,0.0,13.6186770428,33.0739299611,52.9182879377,0.389105058366,0.0,7.00389105058,31.1284046693,61.0894941634,0.778210116732,0.0
CHR-1-Sequence-101,7.00389105058,24.513618677,67.7042801556,0.389105058366,0.389105058366,7.78210116732,34.2412451362,57.5875486381,0.389105058366,0.0,3.11284046693,23.7354085603,72.7626459144,0.0,0.389105058366
CHR-1-Sequence-105,7.00389105058,26.0700389105,66.5369649805,0.389105058366,0.0,5.83657587549,31.5175097276,62.6459143969,0.0,0.0,4.66926070039,26.4591439689,68.4824902724,0.0,0.389105058366
CHR-1-Sequence-106,19.8443579767,34.2412451362,45.5252918288,0.389105058366,0.0,28.4046692607,38.5214007782,33.0739299611,0.0,0.0,11.2840466926,36.5758754864,50.9727626459,0.778210116732,0.389105058366
CHR-1-Sequence-107,9.72762645914,32.6848249027,57.5875486381,0.0,0.0,7.00389105058,33.0739299611,59.9221789883,0.0,0.0,7.00389105058,30.7392996109,62.2568093385,0.0,0.0
CHR-1-Sequence-108,5.44747081712,28.4046692607,65.7587548638,0.389105058366,0.0,6.22568093385,29.5719844358,64.2023346304,0.0,0.0,3.89105058366,22.9571984436,72.7626459144,0.0,0.389105058366
CHR-1-Sequence-112,1.55642023346,17.8988326848,79.766536965,0.778210116732,0.0,3.89105058366,22.5680933852,73.5408560311,0.0,0.0,0.778210116732,14.7859922179,83.2684824903,0.778210116732,0.389105058366
CHR-1-Sequence-113,8.17120622568,28.0155642023,63.813229572,0.0,0.0,7.78210116732,34.6303501946,57.5875486381,0.0,0.0,5.05836575875,31.906614786,61.8677042802,1.1673151751,0.0
CHR-1-Sequence-115,9.72762645914,21.0116731518,68.4824902724,0.389105058366,0.389105058366,5.83657587549,35.7976653696,58.3657587549,0.0,0.0,5.44747081712,28.0155642023,65.3696498054,1.1673151751,0.0
CHR-1-Sequence-116,22.1789883268,35.0194552529,42.4124513619,0.389105058366,0.0,23.3463035019,40.8560311284,35.7976653696,0.0,0.0,12.0622568093,37.3540856031,49.8054474708,0.389105058366,0.389105058366
CHR-1-Sequence-117,24.513618677,33.8521400778,41.6342412451,0.0,0.0,21.4007782101,41.6342412451,36.9649805447,0.0,0.0,16.3424124514,35.0194552529,47.859922179,0.778210116732,0.0
CHR-1-Sequence-121,18.6770428016,33.8521400778,47.4708171206,0.0,0.0,21.0116731518,36.5758754864,42.4124513619,0.0,0.0,12.8404669261,32.6848249027,54.0856031128,0.389105058366,0.0
CHR-1-Sequence-122,1.1673151751,13.6186770428,84.046692607,1.1673151751,0.0,0.389105058366,18.2879377432,80.9338521401,0.389105058366,0.0,1.94552529183,6.61478599222,90.6614785992,0.389105058366,0.389105058366
CHR-1-Sequence-123,22.9571984436,35.0194552529,41.6342412451,0.389105058366,0.0,24.513618677,38.1322957198,37.3540856031,0.0,0.0,15.1750972763,32.2957198444,52.140077821,0.389105058366,0.0
CHR-1-Sequence-124,26.4591439689,35.4085603113,37.3540856031,0.778210116732,0.0,29.1828793774,36.186770428,34.6303501946,0.0,0.0,14.3968871595,34.2412451362,50.9727626459,0.0,0.389105058366
CHR-1-Sequence-125,12.4513618677,29.5719844358,56.8093385214,0.778210116732,0.389105058366,12.8404669261,33.0739299611,54.0856031128,0.0,0.0,8.17120622568,31.906614786,59.53307393,0.0,0.389105058366
CHR-1-Sequence-126,10.1167315175,31.906614786,57.5875486381,0.389105058366,0.0,8.56031128405,35.7976653696,55.6420233463,0.0,0.0,8.56031128405,29.1828793774,61.0894941634,1.1673151751,0.0
CHR-1-Sequence-127,19.8443579767,36.186770428,43.1906614786,0.778210116732,0.0,15.1750972763,43.579766537,40.8560311284,0.389105058366,0.0,18.6770428016,33.8521400778,46.6926070039,0.389105058366,0.389105058366
CHR-1-Sequence-128,6.61478599222,29.5719844358,63.4241245136,0.389105058366,0.0,8.17120622568,29.1828793774,62.6459143969,0.0,0.0,3.11284046693,27.626459144,68.8715953307,0.389105058366,0.0
CHR-1-Sequence-129,7.39299610895,33.8521400778,57.9766536965,0.778210116732,0.0,11.673151751,35.0194552529,52.9182879377,0.389105058366,0.0,1.1673151751,24.9027237354,73.1517509728,0.778210116732,0.0
CHR-1-Sequence-131,8.17120622568,33.8521400778,57.5875486381,0.389105058366,0.0,6.61478599222,37.3540856031,56.0311284047,0.0,0.0,9.33852140078,36.9649805447,53.6964980545,0.0,0.0
CHR-1-Sequence-132,14.3968871595,33.0739299611,52.5291828794,0.0,0.0,14.3968871595,40.46692607,45.1361867704,0.0,0.0,9.72762645914,29.1828793774,59.53307393,1.55642023346,0.0
CHR-1-Sequence-135,0.0,13.2295719844,84.046692607,2.33463035019,0.389105058366,1.55642023346,17.8988326848,78.9883268482,1.1673151751,0.389105058366,0.0,5.05836575875,94.5525291829,0.389105058366,0.0
CHR-1-Sequence-140,1.55642023346,25.2918287938,72.373540856,0.778210116732,0.0,4.66926070039,32.2957198444,63.0350194553,0.0,0.0,1.1673151751,22.1789883268,76.6536964981,0.0,0.0
CHR-1-Sequence-141,23.3463035019,30.3501945525,45.9143968872,0.389105058366,0.0,28.4046692607,41.2451361868,29.9610894942,0.389105058366,0.0,10.5058365759,28.4046692607,59.1439688716,1.55642023346,0.389105058366
CHR-1-Sequence-142,1.1673151751,14.3968871595,82.1011673152,1.94552529183,0.389105058366,4.28015564202,35.0194552529,60.7003891051,0.0,0.0,1.1673151751,16.7315175097,80.5447470817,1.55642023346,0.0
CHR-1-Sequence-143,7.39299610895,33.0739299611,59.53307393,0.0,0.0,4.66926070039,41.6342412451,53.6964980545,0.0,0.0,3.89105058366,24.513618677,70.8171206226,0.778210116732,0.0
CHR-1-Sequence-144,3.50194552529,29.9610894942,66.1478599222,0.389105058366,0.0,7.39299610895,36.186770428,56.420233463,0.0,0.0,4.28015564202,28.4046692607,66.5369649805,0.778210116732,0.0
CHR-1-Sequence-145,17.5097276265,28.4046692607,54.0856031128,0.0,0.0,19.4552529183,38.1322957198,42.0233463035,0.389105058366,0.0,7.00389105058,30.7392996109,61.8677042802,0.389105058366,0.0
CHR-1-Sequence-147,0.0,5.05836575875,93.3852140078,1.1673151751,0.389105058366,0.389105058366,12.8404669261,86.7704280156,0.0,0.0,0.0,7.00389105058,91.8287937743,1.1673151751,0.0
CHR-1-Sequence-149,11.673151751,37.7431906615,49.0272373541,1.55642023346,0.0,14.7859922179,37.7431906615,47.4708171206,0.0,0.0,15.953307393,32.2957198444,50.5836575875,0.389105058366,0.778210116732
CHR-1-Sequence-153,14.7859922179,38.5214007782,46.6926070039,0.0,0.0,17.5097276265,43.579766537,38.9105058366,0.0,0.0,10.1167315175,36.9649805447,52.9182879377,0.0,0.0
CHR-1-Sequence-154,0.0,6.22568093385,92.9961089494,0.778210116732,0.0,0.0,6.22568093385,93.7743190661,0.0,0.0,0.389105058366,8.56031128405,90.2723735409,0.778210116732,0.0
CHR-1-Sequence-157,5.44747081712,19.0661478599,75.0972762646,0.389105058366,0.0,3.11284046693,28.0155642023,68.8715953307,0.0,0.0,2.33463035019,22.5680933852,74.7081712062,0.389105058366,0.0
CHR-1-Sequence-158,17.5097276265,30.7392996109,51.7509727626,0.0,0.0,22.5680933852,36.9649805447,40.0778210117,0.0,0.389105058366,8.56031128405,29.9610894942,61.4785992218,0.0,0.0
CHR-1-Sequence-159,18.2879377432,28.7937743191,52.140077821,0.389105058366,0.389105058366,22.5680933852,31.906614786,45.1361867704,0.389105058366,0.0,7.78210116732,31.5175097276,60.3112840467,0.389105058366,0.0
CHR-1-Sequence-160,10.8949416342,38.1322957198,50.1945525292,0.778210116732,0.0,14.3968871595,43.1906614786,42.4124513619,0.0,0.0,8.17120622568,31.1284046693,60.3112840467,0.389105058366,0.0
CHR-1-Sequence-162,0.778210116732,21.7898832685,75.486381323,1.55642023346,0.389105058366,2.72373540856,28.4046692607,68.8715953307,0.0,0.0,0.0,10.8949416342,87.5486381323,0.778210116732,0.778210116732
CHR-1-Sequence-163,10.1167315175,22.9571984436,65.7587548638,1.1673151751,0.0,12.8404669261,36.5758754864,50.5836575875,0.0,0.0,3.89105058366,24.9027237354,70.4280155642,0.778210116732,0.0
CHR-1-Sequence-164,22.5680933852,32.2957198444,44.3579766537,0.778210116732,0.0,23.3463035019,41.2451361868,35.0194552529,0.389105058366,0.0,13.2295719844,28.0155642023,57.9766536965,0.778210116732,0.0
CHR-1-Sequence-166,21.0116731518,30.7392996109,47.859922179,0.389105058366,0.0,19.4552529183,39.2996108949,41.2451361868,0.0,0.0,12.4513618677,32.2957198444,55.2529182879,0.0,0.0
CHR-1-Sequence-168,10.1167315175,30.7392996109,58.3657587549,0.778210116732,0.0,8.56031128405,37.7431906615,53.6964980545,0.0,0.0,8.56031128405,33.0739299611,57.9766536965,0.0,0.389105058366
CHR-1-Sequence-171,8.17120622568,33.4630350195,58.3657587549,0.0,0.0,10.8949416342,42.0233463035,47.0817120623,0.0,0.0,2.72373540856,27.626459144,68.8715953307,0.778210116732,0.0
CHR-1-Sequence-172,13.6186770428,32.6848249027,53.6964980545,0.0,0.0,12.8404669261,37.7431906615,49.4163424125,0.0,0.0,12.0622568093,32.6848249027,55.2529182879,0.0,0.0
CHR-1-Sequence-173,5.05836575875,25.6809338521,68.4824902724,0.778210116732,0.0,4.28015564202,32.6848249027,63.0350194553,0.0,0.0,5.83657587549,29.1828793774,64.2023346304,0.778210116732,0.0
CHR-1-Sequence-174,13.6186770428,37.7431906615,48.2490272374,0.389105058366,0.0,12.0622568093,39.6887159533,48.2490272374,0.0,0.0,9.72762645914,33.0739299611,57.1984435798,0.0,0.0
CHR-1-Sequence-175,17.1206225681,31.1284046693,50.5836575875,1.1673151751,0.0,17.1206225681,34.6303501946,47.859922179,0.389105058366,0.0,8.94941634241,28.7937743191,61.8677042802,0.389105058366,0.0
CHR-1-Sequence-176,8.17120622568,21.4007782101,68.8715953307,1.55642023346,0.0,9.72762645914,29.5719844358,60.7003891051,0.0,0.0,4.66926070039,19.8443579767,74.3190661479,1.1673151751,0.0
CHR-1-Sequence-177,10.1167315175,26.0700389105,63.813229572,0.0,0.0,8.94941634241,31.906614786,58.7548638132,0.389105058366,0.0,5.44747081712,29.1828793774,64.9805447471,0.389105058366,0.0
CHR-1-Sequence-178,21.7898832685,32.2957198444,45.9143968872,0.0,0.0,22.9571984436,34.6303501946,42.4124513619,0.0,0.0,16.7315175097,35.7976653696,45.9143968872,1.55642023346,0.0
CHR-1-Sequence-181,22.5680933852,30.3501945525,46.6926070039,0.389105058366,0.0,20.6225680934,37.3540856031,42.0233463035,0.0,0.0,16.7315175097,35.0194552529,47.0817120623,1.1673151751,0.0
CHR-1-Sequence-182,19.4552529183,34.2412451362,45.9143968872,0.389105058366,0.0,17.8988326848,40.0778210117,41.6342412451,0.389105058366,0.0,11.673151751,31.1284046693,56.0311284047,1.1673151751,0.0
CHR-1-Sequence-185,18.2879377432,33.8521400778,47.0817120623,0.778210116732,0.0,17.8988326848,41.6342412451,40.46692607,0.0,0.0,11.673151751,30.7392996109,57.1984435798,0.389105058366,0.0
CHR-1-Sequence-186,15.1750972763,30.3501945525,53.3073929961,0.778210116732,0.389105058366,15.953307393,38.1322957198,45.9143968872,0.0,0.0,8.94941634241,29.5719844358,61.0894941634,0.389105058366,0.0
CHR-1-Sequence-187,16.3424124514,31.1284046693,52.5291828794,0.0,0.0,10.8949416342,34.6303501946,54.4747081712,0.0,0.0,14.3968871595,40.8560311284,44.7470817121,0.0,0.0
CHR-1-Sequence-191,21.7898832685,38.9105058366,39.2996108949,0.0,0.0,21.7898832685,44.7470817121,33.0739299611,0.389105058366,0.0,14.3968871595,33.8521400778,50.5836575875,0.778210116732,0.389105058366
CHR-1-Sequence-193,18.2879377432,33.8521400778,47.0817120623,0.778210116732,0.0,17.1206225681,38.9105058366,43.579766537,0.389105058366,0.0,8.17120622568,33.8521400778,57.9766536965,0.0,0.0
CHR-1-Sequence-194,24.1245136187,38.1322957198,37.3540856031,0.389105058366,0.0,25.6809338521,36.9649805447,37.3540856031,0.0,0.0,18.6770428016,36.186770428,44.3579766537,0.389105058366,0.389105058366
CHR-1-Sequence-197,21.7898832685,32.2957198444,45.1361867704,0.778210116732,0.0,18.2879377432,44.7470817121,36.9649805447,0.0,0.0,15.1750972763,36.186770428,48.2490272374,0.389105058366,0.0
CHR-1-Sequence-198,9.72762645914,26.8482490272,62.6459143969,0.778210116732,0.0,9.72762645914,43.1906614786,46.6926070039,0.389105058366,0.0,3.89105058366,29.5719844358,65.3696498054,1.1673151751,0.0
CHR-1-Sequence-199,5.44747081712,23.3463035019,70.4280155642,0.778210116732,0.0,4.66926070039,32.6848249027,62.6459143969,0.0,0.0,5.44747081712,27.626459144,65.7587548638,1.1673151751,0.0
CHR-1-Sequence-202,10.8949416342,36.5758754864,52.140077821,0.389105058366,0.0,13.6186770428,35.4085603113,50.9727626459,0.0,0.0,7.78210116732,32.2957198444,59.53307393,0.389105058366,0.0
CHR-1-Sequence-203,11.2840466926,31.5175097276,56.420233463,0.778210116732,0.0,10.8949416342,38.9105058366,50.1945525292,0.0,0.0,8.17120622568,25.2918287938,64.5914396887,1.94552529183,0.0
CHR-1-Sequence-209,4.66926070039,18.6770428016,76.2645914397,0.389105058366,0.0,6.22568093385,27.2373540856,66.5369649805,0.0,0.0,0.778210116732,14.3968871595,84.046692607,0.778210116732,0.0
CHR-1-Sequence-213,3.50194552529,21.4007782101,74.3190661479,0.778210116732,0.0,3.89105058366,32.2957198444,63.813229572,0.0,0.0,2.33463035019,10.5058365759,86.3813229572,0.778210116732,0.0
CHR-1-Sequence-214,17.5097276265,31.1284046693,50.9727626459,0.389105058366,0.0,15.1750972763,41.2451361868,43.579766537,0.0,0.0,10.1167315175,31.1284046693,57.9766536965,0.778210116732,0.0
CHR-1-Sequence-215,19.8443579767,31.906614786,47.859922179,0.0,0.389105058366,18.6770428016,35.7976653696,45.5252918288,0.0,0.0,11.673151751,31.906614786,56.420233463,0.0,0.0
