Unnamed: 0,ID,conf90,conf95,conf99,numberCys,numberCysCys,pattern
86,g87.t1,0,0,0,1,1,1
87,g88.t1,1,1,1,0,1,1
88,g89.t1,1,1,1,1,1,1
89,g90.t1,1,1,1,1,1,1
90,g91.t1,1,1,1,1,1,1
91,g92.t1,1,1,1,1,1,1
92,g93.t1,1,1,1,1,1,1
93,g94.t1,1,1,1,1,1,1
94,g95.t1,1,1,1,1,1,1
95,g96.t1,1,1,1,1,1,1
96,g97.t1,1,1,1,1,1,1
97,g98.t1,1,1,1,0,1,1
98,g99.t1,1,1,1,0,1,1
99,g100.t1,1,1,1,0,1,1
100,g101.t1,1,1,1,1,1,1
101,g102.t1,1,1,1,0,1,1
102,g103.t1,1,1,1,0,1,1
103,g104.t1,1,1,1,0,1,1
104,g105.t1,0,0,0,1,1,1
105,g106.t1,1,1,1,1,1,1
106,g107.t1,1,1,1,0,1,1
107,g108.t1,1,1,1,1,1,1
108,g109.t1,1,1,1,1,1,1
109,g110.t1,1,1,1,0,1,1
110,g111.t1,1,1,1,1,1,1
111,g112.t1,1,1,1,0,0,1
112,g113.t1,1,1,1,1,1,1
113,g114.t1,1,1,1,1,1,1
114,g115.t1,1,1,1,0,1,1
115,g116.t1,1,1,1,0,1,1
116,g117.t1,1,1,1,1,1,1
117,g118.t1,1,1,1,1,1,1
118,g119.t1,1,1,1,0,1,1
119,g120.t1,0,0,0,1,1,1
120,g121.t1,1,1,1,1,1,1
121,g122.t1,1,1,0,1,1,1
122,g123.t1,1,1,1,0,1,1
123,g124.t1,1,1,1,1,1,1
124,g125.t1,1,1,1,1,1,1
125,g126.t1,1,1,1,1,1,1
126,g127.t1,1,1,1,1,1,1
127,g128.t1,1,1,1,1,1,1
128,g129.t1,1,1,1,1,1,1
129,g130.t1,1,1,1,1,1,1
130,g131.t1,0,0,0,1,1,1
131,g132.t1,1,1,1,0,1,1
132,g133.t1,1,1,1,1,1,1
133,g134.t1,1,1,1,1,1,1
134,g135.t1,1,1,1,0,1,1
135,g136.t1,1,1,1,1,1,1
136,g137.t1,0,0,0,1,1,1
137,g138.t1,1,1,1,0,1,1
138,g139.t1,1,1,1,0,1,1
139,g140.t1,1,1,1,0,1,1
140,g141.t1,1,1,1,1,1,1
141,g142.t1,1,1,1,1,1,1
142,g143.t1,1,1,1,0,1,1
143,g144.t1,1,1,1,0,1,1
144,g145.t1,1,1,1,1,1,1
145,g146.t1,0,0,0,1,1,1
146,g147.t1,1,1,1,1,1,1
147,g148.t1,1,1,1,1,1,1
148,g149.t1,1,1,1,1,1,1
149,g150.t1,1,1,1,0,1,1
150,g151.t1,0,0,0,1,1,1
151,g152.t1,1,1,1,1,1,1
152,g153.t1,1,1,1,1,1,1
153,g154.t1,1,1,1,0,1,1
154,g155.t1,1,1,1,1,1,1
155,g156.t1,1,1,1,1,1,1
156,g157.t1,1,1,1,1,1,1
157,g158.t1,1,1,1,1,1,1
158,g159.t1,1,1,1,1,1,1
159,g160.t1,1,1,1,0,1,1
160,g161.t1,1,1,1,1,1,1
161,g162.t1,1,1,1,0,1,1
162,g163.t1,1,1,1,1,1,1
163,g164.t1,1,1,1,1,1,1
164,g165.t1,1,1,1,1,1,1
165,g166.t1,0,0,0,1,1,1
166,g167.t1,1,1,1,0,1,1
167,g168.t1,1,1,1,0,1,1
168,g169.t1,1,1,1,1,1,1
169,g170.t1,1,1,1,1,1,1
170,g171.t1,1,1,1,1,1,1
171,g172.t1,1,1,0,1,1,1
172,g173.t1,1,1,1,1,1,1
173,g174.t1,1,1,1,1,1,1
174,g175.t1,1,1,1,1,1,1
175,g176.t1,1,1,1,1,1,1
176,g177.t1,1,1,1,1,1,1
177,g178.t1,1,1,1,0,1,1
178,g179.t1,1,1,1,1,1,1
179,g180.t1,1,1,1,1,1,1
180,g181.t1,1,1,1,1,1,1
181,g182.t1,1,1,1,1,1,1
182,g183.t1,1,1,1,1,1,1
183,g184.t1,1,1,1,1,1,1
184,g185.t1,1,1,1,1,1,1
185,g186.t1,0,0,0,1,1,1
186,g187.t1,1,1,1,1,1,1
187,g188.t1,1,1,1,0,1,1
188,g189.t1,1,1,1,0,0,1
189,g190.t1,1,1,1,1,1,1
190,g191.t1,1,1,1,1,1,1
191,g192.t1,1,1,1,1,1,1
192,g193.t1,1,1,1,1,1,1
193,g194.t1,1,1,1,0,1,1
194,g195.t1,1,1,1,1,1,1
195,g196.t1,1,1,1,0,1,1
196,g197.t1,1,1,1,0,1,1
197,g198.t1,1,1,1,0,1,1
198,g199.t1,1,1,1,1,1,1
199,g200.t1,1,1,1,1,1,1
200,g201.t1,1,1,1,0,1,1
201,g202.t1,1,1,1,1,1,1
202,g203.t1,1,1,1,0,1,1
203,g204.t1,1,1,1,1,1,1
204,g205.t1,1,1,1,0,1,1
205,g206.t1,1,1,1,1,1,1
206,g207.t1,1,1,1,1,1,1
207,g208.t1,1,1,1,0,1,1
208,g209.t1,1,1,1,1,1,1
209,g210.t1,1,1,1,1,1,1
210,g211.t1,0,0,0,1,1,1
211,g212.t1,1,1,1,0,1,1
212,g213.t1,1,1,1,1,1,1
213,g214.t1,1,1,1,0,1,1
214,g215.t1,1,1,1,1,1,1
215,g216.t1,1,1,1,1,1,1
216,g217.t1,1,1,0,0,1,1
217,g218.t1,0,0,0,1,1,1
218,g219.t1,1,1,1,0,1,1
219,g220.t1,1,1,1,1,1,1
220,g221.t1,1,1,1,1,1,1
221,g222.t1,1,1,1,0,1,1
222,g223.t1,1,1,1,0,1,1
223,g224.t1,1,1,1,1,1,1
224,g225.t1,1,1,1,0,1,1
225,g226.t1,1,1,1,1,1,1
226,g227.t1,1,1,1,0,1,1
227,g228.t1,1,1,1,1,1,1
228,g229.t1,1,1,1,1,1,1
229,g230.t1,0,0,0,1,1,1
230,g231.t1,1,1,1,0,1,1
231,g232.t1,1,1,1,0,0,1
232,g233.t1,1,1,1,1,1,1
233,g234.t1,1,1,1,1,1,1
234,g235.t1,1,1,1,1,1,1
235,g236.t1,1,1,1,1,1,1
236,g237.t1,0,0,0,1,1,1
237,g238.t1,1,1,1,1,1,1
238,g239.t1,1,1,1,1,1,1
239,g240.t1,1,1,1,0,1,1
240,g241.t1,1,1,1,0,1,1
241,g242.t1,1,1,1,1,1,1
242,g243.t1,1,1,1,0,1,1
243,g244.t1,1,1,1,0,1,1
244,g245.t1,1,1,1,0,1,1
245,g246.t1,1,1,1,1,1,1
246,g247.t1,1,1,1,1,1,1
247,g248.t1,1,1,1,1,1,1
248,g249.t1,1,1,1,1,1,1
249,g250.t1,1,1,1,1,1,1
250,g251.t1,1,1,1,1,1,1
251,g252.t1,1,1,1,1,1,1
252,g253.t1,1,1,1,0,1,1
253,g254.t1,1,1,1,1,1,1
254,g255.t1,0,0,0,1,1,1
255,g256.t1,1,1,1,0,1,1
256,g257.t1,1,1,1,0,1,1
257,g258.t1,1,1,1,1,1,1
258,g259.t1,1,1,1,1,1,1
259,g260.t1,1,1,1,1,1,1
260,g261.t1,1,1,1,1,1,1
261,g262.t1,1,1,1,1,1,1
262,g263.t1,1,1,1,1,1,1
263,g264.t1,1,1,1,0,1,1
264,g265.t1,1,1,1,1,1,1
265,g266.t1,1,1,0,1,1,1
266,g267.t1,1,1,1,1,1,1
267,g268.t1,1,1,1,0,1,1
268,g269.t1,1,1,1,0,1,1
269,g270.t1,1,1,1,1,1,1
270,g271.t1,1,1,1,0,1,1
271,g272.t1,1,1,1,0,1,1
272,g273.t1,1,1,1,1,1,1
273,g274.t1,1,1,1,1,1,1
274,g275.t1,1,1,1,1,1,1
275,g276.t1,1,1,1,1,1,1
276,g277.t1,1,1,1,1,1,1
277,g278.t1,1,1,1,1,1,1
278,g279.t1,1,1,1,0,1,1
279,g280.t1,1,1,1,1,1,1
280,g281.t1,0,0,0,1,1,1
281,g282.t1,1,1,1,0,1,1
282,g283.t1,1,1,1,1,1,1
283,g284.t1,1,1,1,1,1,1
284,g285.t1,1,1,1,1,1,1
285,g286.t1,1,1,1,0,1,1
286,g287.t1,1,1,1,1,1,1
287,g288.t1,1,1,1,0,1,1
288,g289.t1,1,1,1,1,1,1
289,g290.t1,1,1,1,1,1,1
290,g291.t1,1,1,1,1,1,1
291,g292.t1,1,1,1,0,1,1
292,g293.t1,1,1,1,1,1,1
293,g294.t1,1,1,1,1,1,1
294,g295.t1,1,1,1,1,1,1
295,g296.t1,1,1,1,1,1,1
296,g297.t1,1,1,1,0,1,1
297,g298.t1,1,1,1,1,1,1
298,g299.t1,1,1,1,0,1,1
299,g300.t1,1,1,1,1,1,1
300,g301.t1,1,1,0,1,1,1
301,g302.t1,1,1,1,0,1,1
302,g303.t1,1,1,1,1,1,1
303,g304.t1,1,1,1,1,1,1
304,g305.t1,1,1,1,0,1,1
305,g306.t1,1,1,1,0,1,1
306,g307.t1,1,1,1,1,1,1
307,g308.t1,1,1,1,1,1,1
308,g309.t1,1,1,1,1,1,1
309,g310.t1,1,1,1,0,1,1
310,g311.t1,1,1,1,0,1,1
311,g312.t1,1,1,1,1,1,1
312,g313.t1,1,1,1,1,1,1
313,g314.t1,1,1,1,1,1,1
314,g315.t1,1,1,1,1,1,1
315,g316.t1,1,1,1,0,1,1
316,g317.t1,1,1,1,0,1,1
317,g318.t1,1,1,1,0,1,1
318,g319.t1,1,1,1,1,1,1
319,g320.t1,1,1,1,0,1,1
320,g321.t1,1,1,1,1,1,1
321,g322.t1,1,1,1,1,1,1
322,g323.t1,1,1,1,1,1,1
323,g324.t1,1,1,1,0,1,1
324,g325.t1,1,1,1,0,1,1
325,g326.t1,1,1,1,0,1,1
326,g327.t1,1,1,1,1,1,1
327,g328.t1,1,1,1,1,1,1
328,g329.t1,1,1,1,1,1,1
329,g330.t1,1,1,1,0,1,1
330,g331.t1,1,1,1,1,1,1
331,g332.t1,1,1,1,0,1,1
332,g333.t1,1,1,0,1,1,1
333,g334.t1,1,1,1,1,1,1
334,g335.t1,1,1,1,1,1,1
335,g336.t1,1,1,1,0,1,1
336,g337.t1,1,1,1,1,1,1
337,g338.t1,1,1,1,0,1,1
338,g339.t1,1,1,1,0,1,1
339,g340.t1,1,1,1,0,1,1
340,g341.t1,1,1,1,1,1,1
341,g342.t1,1,1,1,1,1,1
342,g343.t1,1,1,1,1,1,1
343,g344.t1,1,1,1,1,1,1
344,g345.t1,1,1,1,1,1,1
345,g346.t1,1,1,1,1,1,1
346,g347.t1,1,1,1,1,1,1
347,g348.t1,1,1,1,0,1,1
348,g349.t1,1,1,1,1,1,1
349,g350.t1,1,1,1,1,1,1
350,g351.t1,1,1,1,1,1,1
351,g352.t1,0,0,0,1,1,1
352,g353.t1,0,0,0,1,1,1
353,g354.t1,1,1,1,0,1,1
354,g355.t1,1,1,1,1,1,1
355,g356.t1,1,1,1,1,1,1
356,g357.t1,1,1,1,1,1,1
357,g358.t1,1,1,1,1,1,1
358,g359.t1,1,1,1,1,1,1
359,g360.t1,1,1,1,1,1,1
360,g361.t1,1,1,1,1,1,1
361,g362.t1,1,1,1,1,1,1
362,g363.t1,1,1,1,1,1,1
363,g364.t1,1,1,1,0,1,1
364,g365.t1,1,1,1,1,1,1
365,g366.t1,1,1,1,1,1,1
366,g367.t1,1,1,1,1,1,1
367,g368.t1,1,1,1,0,1,1
368,g369.t1,1,1,1,0,1,1
369,g370.t1,0,0,0,1,1,1
370,g371.t1,1,1,1,0,1,1
371,g372.t1,1,1,1,1,1,1
372,g373.t1,1,1,1,1,1,1
373,g374.t1,1,1,1,1,1,1
374,g375.t1,1,1,1,0,1,1
375,g376.t1,1,1,1,1,1,1
376,g377.t1,1,1,1,0,1,1
377,g378.t1,1,1,1,1,1,1
378,g379.t1,1,1,1,1,1,1
379,g380.t1,1,1,1,1,1,1
380,g381.t1,1,1,1,0,1,1
381,g382.t1,1,1,1,1,1,1
382,g383.t1,1,1,1,1,1,1
383,g384.t1,1,1,1,0,1,1
384,g385.t1,1,1,1,0,1,1
385,g386.t1,0,0,0,1,1,1
386,g387.t1,0,0,0,1,1,1
387,g388.t1,1,1,1,0,1,1
388,g389.t1,0,0,0,1,1,1
389,g390.t1,1,1,1,1,1,1
390,g391.t1,1,1,1,0,1,1
391,g392.t1,1,1,1,0,1,1
392,g393.t1,1,1,1,1,1,1
393,g394.t1,1,1,1,1,1,1
394,g395.t1,1,1,1,1,1,1
395,g396.t1,1,1,1,0,1,1
396,g397.t1,1,1,1,1,1,1
397,g398.t1,1,1,1,1,1,1
398,g399.t1,1,1,1,1,1,1
399,g400.t1,1,1,1,1,1,1
400,g401.t1,1,1,0,1,1,1
401,g402.t1,1,1,1,1,1,1
402,g403.t1,1,1,1,0,1,1
403,g404.t1,1,1,1,0,1,1
404,g405.t1,1,1,1,0,1,1
405,g406.t1,1,1,1,0,1,1
406,g407.t1,1,1,1,1,1,1
407,g408.t1,1,1,1,1,1,1
408,g409.t1,1,1,1,1,1,1
409,g410.t1,1,1,1,1,1,1
410,g411.t1,1,1,0,1,1,1
411,g412.t1,1,1,1,1,1,1
412,g413.t1,1,1,1,1,1,1
413,g414.t1,1,1,1,1,1,1
414,g415.t1,1,1,1,1,1,1
415,g416.t1,1,1,1,0,1,1
416,g417.t1,1,1,1,1,1,1
417,g418.t1,1,1,1,1,1,1
418,g419.t1,0,0,0,1,1,1
419,g420.t1,1,1,1,0,1,1
420,g421.t1,1,0,0,1,1,1
421,g422.t1,0,0,0,1,1,1
422,g423.t1,1,1,1,0,1,1
423,g424.t1,0,0,0,1,1,1
424,g425.t1,1,1,1,1,1,1
425,g426.t1,1,1,1,1,1,1
426,g427.t1,1,1,1,0,1,1
427,g428.t1,1,1,1,1,1,1
428,g429.t1,1,1,1,1,1,1
429,g430.t1,1,1,1,1,1,1
430,g431.t1,1,1,1,1,1,1
431,g432.t1,1,1,1,0,1,1
432,g433.t1,1,0,0,1,1,1
433,g434.t1,1,1,1,1,1,1
434,g435.t1,1,1,1,0,1,1
435,g436.t1,1,1,1,1,1,1
436,g437.t1,1,1,1,1,1,1
437,g438.t1,0,0,0,1,1,1
438,g439.t1,1,1,1,1,1,1
439,g440.t1,1,1,1,1,1,1
440,g441.t1,1,1,1,0,1,1
441,g442.t1,1,1,1,0,1,1
442,g443.t1,1,1,1,0,1,1
443,g444.t1,1,1,1,1,1,1
444,g445.t1,1,1,1,1,1,1
445,g446.t1,1,1,1,1,1,1
446,g447.t1,1,1,1,0,1,1
447,g448.t1,1,1,1,0,1,1
448,g449.t1,1,1,1,1,1,1
449,g450.t1,1,1,1,1,1,1
450,g451.t1,1,1,1,1,1,1
451,g452.t1,1,1,1,1,1,1
452,g453.t1,1,1,1,1,1,1
453,g454.t1,1,1,1,1,1,1
454,g455.t1,0,0,0,1,1,1
455,g456.t1,1,1,1,1,1,1
456,g457.t1,1,1,1,1,1,1
457,g458.t1,1,1,1,1,1,1
458,g459.t1,1,0,0,1,1,1
459,g460.t1,1,1,1,1,1,1
460,g461.t1,1,1,1,0,1,1
461,g462.t1,1,1,1,1,1,1
462,g463.t1,1,1,1,1,1,1
463,g464.t1,1,1,1,1,1,1
464,g465.t1,1,1,1,1,1,1
465,g466.t1,1,1,1,0,1,1
466,g467.t1,1,1,1,1,1,1
467,g468.t1,1,1,1,0,1,1
468,g469.t1,1,1,1,1,1,1
469,g470.t1,1,1,1,0,1,1
470,g471.t1,1,1,1,1,1,1
471,g472.t1,1,1,1,0,1,1
472,g473.t1,1,1,1,1,1,1
473,g474.t1,1,1,1,1,1,1
474,g475.t1,1,1,1,1,1,1
475,g476.t1,1,1,1,1,1,1
476,g477.t1,1,1,1,1,1,1
477,g478.t1,1,1,1,1,1,1
478,g479.t1,1,1,1,0,1,1
479,g480.t1,1,1,1,1,1,1
480,g481.t1,1,1,1,1,1,1
481,g482.t1,1,1,1,0,1,1
482,g483.t1,1,1,1,1,1,1
483,g484.t1,1,1,1,1,1,1
484,g485.t1,1,1,1,0,1,1
485,g486.t1,1,1,1,0,0,1
486,g487.t1,1,1,1,1,1,1
487,g488.t1,1,1,1,1,1,1
488,g489.t1,1,1,1,0,1,1
489,g490.t1,1,1,1,1,1,1
490,g491.t1,1,1,1,1,1,1
491,g492.t1,1,1,1,0,1,1
492,g493.t1,1,1,1,0,1,1
493,g494.t1,1,1,1,1,1,1
494,g495.t1,1,1,1,1,1,1
495,g496.t1,1,1,1,1,1,1
496,g497.t1,1,1,1,1,1,1
497,g498.t1,1,1,1,1,1,1
498,g499.t1,1,1,1,1,1,1
499,g500.t1,1,1,1,1,1,1
500,g501.t1,1,1,1,1,1,1
501,g502.t1,1,1,1,1,1,1
502,g503.t1,1,1,1,1,1,1
503,g504.t1,1,1,1,0,1,1
504,g505.t1,1,0,0,1,1,1
505,g506.t1,1,1,0,1,1,1
506,g507.t1,1,1,1,0,1,1
507,g508.t1,1,1,1,0,1,1
508,g509.t1,1,1,1,1,1,1
509,g510.t1,1,1,1,0,1,1
510,g511.t1,0,0,0,1,1,1
511,g512.t1,1,1,1,1,1,1
512,g513.t1,1,1,1,1,1,1
513,g514.t1,1,1,1,1,1,1
514,g515.t1,1,1,1,0,1,1
515,g516.t1,1,1,1,1,1,1
516,g517.t1,0,0,0,1,1,1
517,g518.t1,1,1,1,1,1,1
518,g519.t1,1,1,1,0,1,1
519,g520.t1,1,1,1,0,1,1
520,g521.t1,1,1,1,0,1,1
521,g522.t1,1,1,1,1,1,1
522,g523.t1,1,1,1,1,1,1
523,g524.t1,1,1,1,0,1,1
524,g525.t1,1,1,1,1,1,1
525,g526.t1,1,1,1,0,1,1
526,g527.t1,1,1,1,1,1,1
527,g528.t1,1,1,1,0,1,1
528,g529.t1,1,1,1,1,1,1
529,g530.t1,1,1,1,0,1,1
530,g531.t1,0,0,0,1,1,1
531,g532.t1,1,1,1,1,1,1
532,g533.t1,1,1,1,0,1,1
533,g534.t1,0,0,0,1,1,1
534,g535.t1,1,1,1,1,1,1
535,g536.t1,1,1,1,1,1,1
536,g537.t1,1,1,1,1,1,1
537,g538.t1,1,1,1,1,1,1
538,g539.t1,1,1,1,1,1,1
539,g540.t1,1,1,1,1,1,1
540,g541.t1,1,1,1,0,1,1
541,g542.t1,1,1,0,1,1,1
542,g543.t1,1,1,1,1,1,1
543,g544.t1,0,0,0,1,1,1
544,g545.t1,1,1,1,0,1,1
545,g546.t1,1,1,1,0,1,1
546,g547.t1,1,1,1,1,1,1
547,g548.t1,1,1,1,1,1,1
548,g549.t1,1,1,1,0,1,1
549,g550.t1,1,1,1,1,1,1
550,g551.t1,1,1,1,0,1,1
551,g552.t1,1,1,1,1,1,1
552,g553.t1,1,1,1,0,1,1
553,g554.t1,1,1,1,1,1,1
554,g555.t1,1,1,1,0,1,1
555,g556.t1,1,1,1,1,1,1
556,g557.t1,1,1,1,0,1,1
557,g558.t1,1,1,1,0,1,1
558,g559.t1,1,1,1,1,1,1
559,g560.t1,0,0,0,1,1,1
560,g561.t1,0,0,0,1,1,1
561,g562.t1,1,1,1,0,1,1
562,g563.t1,1,1,1,0,1,1
563,g564.t1,1,1,1,1,1,1
564,g565.t1,1,1,1,1,1,1
565,g566.t1,1,1,1,0,1,1
566,g567.t1,1,1,1,1,1,1
567,g568.t1,1,1,1,0,1,1
568,g569.t1,1,1,1,0,1,1
569,g570.t1,1,1,1,1,1,1
570,g571.t1,1,1,0,1,1,1
571,g572.t1,1,1,1,0,1,1
572,g573.t1,1,1,1,1,1,1
573,g574.t1,1,1,1,1,1,1
574,g575.t1,1,1,1,1,1,1
575,g576.t1,1,1,1,1,1,1
576,g577.t1,1,1,1,0,1,1
577,g578.t1,1,1,1,1,1,1
578,g579.t1,1,1,1,1,1,1
579,g580.t1,1,1,1,1,1,1
580,g581.t1,0,0,0,0,0,1
581,g582.t1,1,1,1,1,1,1
582,g583.t1,0,0,0,1,1,1
583,g584.t1,1,1,1,1,1,1
584,g585.t1,0,0,0,1,1,1
585,g586.t1,1,1,1,0,1,1
586,g587.t1,1,1,1,1,1,1
587,g588.t1,1,1,1,1,1,1
588,g589.t1,1,1,0,1,1,1
589,g590.t1,1,1,1,0,1,1
590,g591.t1,1,1,1,0,1,1
591,g592.t1,1,1,1,1,1,1
592,g593.t1,0,0,0,1,1,1
593,g594.t1,1,1,1,1,1,1
594,g595.t1,1,1,1,1,1,1
595,g596.t1,1,1,1,0,1,1
596,g597.t1,0,0,0,1,1,1
597,g598.t1,1,0,0,1,1,1
598,g599.t1,1,1,1,1,1,1
599,g600.t1,1,1,1,1,1,1
600,g601.t1,1,1,1,0,1,1
601,g602.t1,1,1,1,0,1,1
602,g603.t1,1,1,1,1,1,1
603,g604.t1,1,1,1,1,1,1
604,g605.t1,1,1,1,0,1,1
605,g606.t1,1,1,1,0,1,1
606,g607.t1,1,1,1,1,1,1
607,g608.t1,1,1,1,0,1,1
608,g609.t1,0,0,0,1,1,1
609,g610.t1,1,1,1,1,1,1
610,g611.t1,1,1,1,1,1,1
611,g612.t1,1,1,1,1,1,1
612,g613.t1,1,1,1,1,1,1
613,g614.t1,1,1,1,1,1,1
614,g615.t1,1,1,1,1,1,1
615,g616.t1,1,1,1,1,1,1
616,g617.t1,1,0,0,1,1,1
617,g618.t1,1,1,1,0,1,1
618,g619.t1,1,1,1,1,1,1
619,g620.t1,1,1,1,1,1,1
620,g621.t1,1,1,1,0,1,1
621,g622.t1,1,1,1,0,1,1
622,g623.t1,0,0,0,1,1,1
623,g624.t1,1,1,1,1,1,1
624,g625.t1,1,1,1,1,1,1
625,g626.t1,0,0,0,1,1,1
626,g627.t1,1,1,1,0,1,1
627,g628.t1,1,1,1,1,1,1
628,g629.t1,1,1,1,0,1,1
629,g630.t1,0,0,0,1,1,1
630,g631.t1,1,1,1,0,1,1
631,g632.t1,1,1,1,1,1,1
632,g633.t1,1,1,1,1,1,1
633,g634.t1,1,1,1,1,1,1
634,g635.t1,1,1,1,1,1,1
635,g636.t1,1,1,1,1,1,1
636,g637.t1,1,1,1,1,1,1
637,g638.t1,0,0,0,1,1,1
638,g639.t1,1,1,1,1,1,1
639,g640.t1,1,1,1,1,1,1
640,g641.t1,1,1,1,1,1,1
641,g642.t1,1,1,1,1,1,1
642,g643.t1,1,1,1,1,1,1
643,g644.t1,1,1,1,1,1,1
644,g645.t1,1,1,1,1,1,1
645,g646.t1,1,1,1,1,1,1
646,g647.t1,0,0,0,1,1,1
647,g648.t1,1,1,1,0,0,1
648,g649.t1,1,1,1,1,1,1
649,g650.t1,1,1,1,1,1,1
650,g651.t1,0,0,0,1,1,1
651,g652.t1,1,1,1,0,1,1
652,g653.t1,1,1,1,1,1,1
653,g654.t1,1,1,1,0,1,1
654,g655.t1,1,1,1,0,1,1
655,g656.t1,1,1,1,0,1,1
656,g657.t1,1,1,1,0,1,1
657,g658.t1,1,0,0,1,1,1
658,g659.t1,0,0,0,1,1,1
659,g660.t1,1,1,1,0,1,1
660,g661.t1,1,1,1,1,1,1
661,g662.t1,0,0,0,0,1,1
662,g663.t1,1,1,1,1,1,1
663,g664.t1,1,1,1,0,1,1
664,g665.t1,0,0,0,1,1,1
665,g666.t1,1,1,1,1,1,1
666,g667.t1,1,1,1,1,1,1
667,g668.t1,1,1,1,0,1,1
668,g669.t1,1,1,1,1,1,1
669,g670.t1,1,1,1,0,0,1
670,g671.t1,1,1,1,1,1,1
671,g672.t1,1,1,1,1,1,1
672,g673.t1,1,1,1,0,1,1
673,g674.t1,1,1,1,1,1,1
674,g675.t1,1,1,1,0,1,1
675,g676.t1,1,1,1,0,1,1
676,g677.t1,1,1,1,0,1,1
677,g678.t1,1,1,1,0,1,1
678,g679.t1,1,1,1,0,1,1
679,g680.t1,1,1,1,1,1,1
680,g681.t1,1,1,1,1,1,1
681,g682.t1,1,1,1,0,1,1
682,g683.t1,1,1,1,0,1,1
683,g684.t1,1,1,1,1,1,1
684,g685.t1,1,1,0,1,1,1
685,g686.t1,1,1,1,1,1,1
686,g687.t1,1,1,1,1,1,1
687,g688.t1,1,1,1,0,1,1
688,g689.t1,1,1,1,1,1,1
689,g690.t1,1,1,1,0,1,1
690,g691.t1,1,1,1,1,1,1
691,g692.t1,1,1,1,1,1,1
692,g693.t1,1,1,1,1,1,1
693,g694.t1,1,1,1,1,1,1
694,g695.t1,1,1,1,1,1,1
695,g696.t1,1,1,1,1,1,1
