indexSequence,HydrophobicZ1,HydrophobicZ2,HydrophobicZ3,HydrophobicZ4,HydrophobicZ5,HydrophobicityZ1,HydrophobicityZ2,HydrophobicityZ3,HydrophobicityZ4,HydrophobicityZ5,HydrophilicityZ1,HydrophilicityZ2,HydrophilicityZ3,HydrophilicityZ4,HydrophilicityZ5
CHR-1-Sequence-13,11.2840466926,29.1828793774,59.1439688716,0.389105058366,0.0,10.5058365759,31.1284046693,57.9766536965,0.389105058366,0.0,7.78210116732,26.8482490272,64.9805447471,0.389105058366,0.0
CHR-1-Sequence-14,12.8404669261,26.0700389105,60.7003891051,0.389105058366,0.0,13.2295719844,30.3501945525,55.6420233463,0.389105058366,0.389105058366,10.1167315175,30.3501945525,59.53307393,0.0,0.0
CHR-1-Sequence-15,12.4513618677,31.1284046693,55.6420233463,0.389105058366,0.389105058366,12.4513618677,30.3501945525,56.0311284047,0.389105058366,0.778210116732,12.4513618677,34.2412451362,53.3073929961,0.0,0.0
CHR-1-Sequence-16,17.1206225681,28.4046692607,53.3073929961,1.1673151751,0.0,12.0622568093,29.1828793774,57.5875486381,0.778210116732,0.389105058366,18.2879377432,28.7937743191,52.5291828794,0.389105058366,0.0
CHR-1-Sequence-17,14.7859922179,31.906614786,52.9182879377,0.389105058366,0.0,11.2840466926,28.7937743191,59.1439688716,0.389105058366,0.389105058366,17.8988326848,36.5758754864,45.5252918288,0.0,0.0
CHR-1-Sequence-18,0.0,6.22568093385,92.9961089494,0.778210116732,0.0,0.0,4.28015564202,94.9416342412,0.778210116732,0.0,0.0,8.17120622568,90.2723735409,1.1673151751,0.389105058366
CHR-1-Sequence-23,3.11284046693,17.8988326848,77.0428015564,1.94552529183,0.0,1.1673151751,15.5642023346,82.4902723735,0.778210116732,0.0,2.33463035019,21.7898832685,75.0972762646,0.778210116732,0.0
CHR-1-Sequence-24,0.0,1.94552529183,96.8871595331,0.389105058366,0.778210116732,0.0,2.72373540856,96.8871595331,0.389105058366,0.0,0.0,5.05836575875,94.5525291829,0.389105058366,0.0
CHR-1-Sequence-25,0.0,9.33852140078,89.8832684825,0.778210116732,0.0,0.0,7.00389105058,92.2178988327,0.778210116732,0.0,0.0,15.1750972763,84.046692607,0.778210116732,0.0
CHR-1-Sequence-26,0.389105058366,7.78210116732,90.6614785992,1.1673151751,0.0,0.0,3.50194552529,96.1089494163,0.389105058366,0.0,0.0,12.4513618677,87.1595330739,0.389105058366,0.0
CHR-1-Sequence-31,8.94941634241,25.6809338521,64.2023346304,1.1673151751,0.0,8.56031128405,28.0155642023,62.2568093385,1.1673151751,0.0,8.94941634241,33.0739299611,57.5875486381,0.389105058366,0.0
CHR-1-Sequence-32,11.673151751,28.7937743191,58.3657587549,1.1673151751,0.0,6.61478599222,27.626459144,64.5914396887,1.1673151751,0.0,13.6186770428,32.6848249027,53.6964980545,0.0,0.0
CHR-1-Sequence-33,8.56031128405,31.5175097276,58.7548638132,1.1673151751,0.0,5.83657587549,28.4046692607,65.7587548638,0.0,0.0,9.33852140078,35.0194552529,55.6420233463,0.0,0.0
CHR-1-Sequence-34,1.94552529183,28.0155642023,69.2607003891,0.778210116732,0.0,1.55642023346,24.513618677,73.5408560311,0.389105058366,0.0,4.66926070039,24.513618677,70.8171206226,0.0,0.0
CHR-1-Sequence-35,5.05836575875,24.1245136187,70.8171206226,0.0,0.0,4.28015564202,19.4552529183,76.2645914397,0.0,0.0,5.05836575875,25.2918287938,69.6498054475,0.0,0.0
CHR-1-Sequence-36,5.44747081712,23.3463035019,70.8171206226,0.389105058366,0.0,3.50194552529,20.6225680934,75.0972762646,0.778210116732,0.0,3.50194552529,25.2918287938,70.4280155642,0.389105058366,0.389105058366
CHR-1-Sequence-37,3.50194552529,31.1284046693,65.3696498054,0.0,0.0,3.89105058366,21.4007782101,74.7081712062,0.0,0.0,4.28015564202,33.8521400778,61.4785992218,0.389105058366,0.0
CHR-1-Sequence-38,2.72373540856,26.4591439689,70.4280155642,0.389105058366,0.0,1.55642023346,18.6770428016,79.3774319066,0.389105058366,0.0,4.28015564202,25.2918287938,69.6498054475,0.389105058366,0.389105058366
CHR-1-Sequence-39,8.17120622568,24.513618677,66.5369649805,0.778210116732,0.0,3.50194552529,21.4007782101,75.0972762646,0.0,0.0,7.78210116732,29.1828793774,62.6459143969,0.389105058366,0.0
CHR-1-Sequence-41,11.673151751,34.2412451362,52.5291828794,1.1673151751,0.389105058366,9.72762645914,31.906614786,57.1984435798,0.778210116732,0.389105058366,13.6186770428,32.6848249027,53.3073929961,0.389105058366,0.0
CHR-1-Sequence-42,12.8404669261,28.0155642023,57.9766536965,0.778210116732,0.389105058366,8.17120622568,29.1828793774,62.2568093385,0.0,0.389105058366,14.7859922179,33.0739299611,52.140077821,0.0,0.0
CHR-1-Sequence-43,1.1673151751,15.953307393,82.4902723735,0.389105058366,0.0,0.778210116732,13.2295719844,84.8249027237,1.1673151751,0.0,3.11284046693,15.953307393,79.766536965,1.1673151751,0.0
CHR-1-Sequence-44,4.28015564202,29.1828793774,65.7587548638,0.778210116732,0.0,2.72373540856,21.7898832685,75.0972762646,0.389105058366,0.0,5.83657587549,32.6848249027,61.0894941634,0.389105058366,0.0
CHR-1-Sequence-45,3.11284046693,25.6809338521,70.4280155642,0.778210116732,0.0,1.94552529183,26.4591439689,70.0389105058,1.1673151751,0.389105058366,3.89105058366,29.1828793774,66.5369649805,0.389105058366,0.0
CHR-1-Sequence-48,14.3968871595,24.9027237354,60.3112840467,0.389105058366,0.0,8.17120622568,26.8482490272,63.4241245136,1.1673151751,0.389105058366,15.5642023346,30.3501945525,54.0856031128,0.0,0.0
CHR-1-Sequence-51,12.0622568093,31.5175097276,56.0311284047,0.389105058366,0.0,8.56031128405,26.0700389105,64.5914396887,0.389105058366,0.389105058366,11.673151751,38.5214007782,49.8054474708,0.0,0.0
CHR-1-Sequence-52,8.94941634241,31.906614786,59.1439688716,0.0,0.0,7.00389105058,26.4591439689,66.5369649805,0.0,0.0,13.6186770428,30.3501945525,56.0311284047,0.0,0.0
CHR-1-Sequence-59,11.673151751,27.2373540856,60.7003891051,0.389105058366,0.0,6.61478599222,26.4591439689,66.9260700389,0.0,0.0,12.4513618677,29.9610894942,57.5875486381,0.0,0.0
CHR-1-Sequence-60,5.83657587549,25.2918287938,68.4824902724,0.389105058366,0.0,2.72373540856,25.2918287938,71.9844357977,0.0,0.0,7.39299610895,27.626459144,64.9805447471,0.0,0.0
CHR-1-Sequence-61,10.1167315175,33.0739299611,56.420233463,0.0,0.389105058366,7.78210116732,28.0155642023,63.4241245136,0.389105058366,0.389105058366,12.8404669261,37.7431906615,49.0272373541,0.389105058366,0.0
CHR-1-Sequence-63,3.89105058366,23.3463035019,72.7626459144,0.0,0.0,3.11284046693,22.9571984436,73.1517509728,0.778210116732,0.0,4.28015564202,25.2918287938,70.0389105058,0.389105058366,0.0
CHR-1-Sequence-66,13.6186770428,27.2373540856,58.3657587549,0.778210116732,0.0,9.72762645914,24.513618677,65.3696498054,0.0,0.389105058366,16.3424124514,32.2957198444,51.3618677043,0.0,0.0
CHR-1-Sequence-67,3.89105058366,22.9571984436,72.373540856,0.778210116732,0.0,3.11284046693,14.0077821012,82.1011673152,0.778210116732,0.0,5.44747081712,22.5680933852,71.9844357977,0.0,0.0
CHR-1-Sequence-68,0.0,5.83657587549,93.7743190661,0.389105058366,0.0,0.0,1.1673151751,97.2762645914,1.55642023346,0.0,0.0,6.61478599222,93.3852140078,0.0,0.0
CHR-1-Sequence-69,5.44747081712,27.2373540856,67.3151750973,0.0,0.0,4.28015564202,22.5680933852,72.7626459144,0.389105058366,0.0,7.00389105058,28.4046692607,64.5914396887,0.0,0.0
CHR-1-Sequence-70,1.1673151751,21.4007782101,76.6536964981,0.778210116732,0.0,2.33463035019,15.953307393,81.7120622568,0.0,0.0,2.72373540856,21.7898832685,75.0972762646,0.389105058366,0.0
CHR-1-Sequence-71,12.4513618677,26.4591439689,60.3112840467,0.778210116732,0.0,10.1167315175,22.9571984436,65.7587548638,0.778210116732,0.389105058366,15.1750972763,31.5175097276,53.3073929961,0.0,0.0
CHR-1-Sequence-72,1.1673151751,13.2295719844,85.2140077821,0.389105058366,0.0,0.778210116732,6.22568093385,92.2178988327,0.778210116732,0.0,4.66926070039,22.1789883268,73.1517509728,0.0,0.0
CHR-1-Sequence-73,5.44747081712,21.4007782101,72.7626459144,0.0,0.389105058366,5.05836575875,16.3424124514,77.4319066148,1.1673151751,0.0,3.89105058366,26.0700389105,69.6498054475,0.389105058366,0.0
CHR-1-Sequence-74,12.0622568093,28.4046692607,58.7548638132,0.778210116732,0.0,5.05836575875,28.0155642023,65.3696498054,1.1673151751,0.389105058366,12.0622568093,36.186770428,50.9727626459,0.778210116732,0.0
CHR-1-Sequence-76,6.61478599222,27.626459144,64.9805447471,0.778210116732,0.0,3.50194552529,19.4552529183,75.8754863813,1.1673151751,0.0,10.1167315175,29.5719844358,60.3112840467,0.0,0.0
CHR-1-Sequence-78,14.3968871595,26.4591439689,58.3657587549,0.778210116732,0.0,12.8404669261,28.7937743191,57.1984435798,0.778210116732,0.389105058366,9.72762645914,30.3501945525,59.53307393,0.389105058366,0.0
CHR-1-Sequence-79,5.83657587549,23.3463035019,70.8171206226,0.0,0.0,4.28015564202,23.3463035019,72.373540856,0.0,0.0,8.56031128405,29.1828793774,62.2568093385,0.0,0.0
CHR-1-Sequence-83,2.72373540856,23.7354085603,72.373540856,1.1673151751,0.0,2.72373540856,18.2879377432,77.4319066148,1.1673151751,0.389105058366,4.66926070039,20.233463035,74.7081712062,0.389105058366,0.0
CHR-1-Sequence-84,5.44747081712,26.0700389105,68.4824902724,0.0,0.0,2.72373540856,22.1789883268,75.0972762646,0.0,0.0,8.94941634241,20.6225680934,70.0389105058,0.389105058366,0.0
CHR-1-Sequence-85,0.0,2.72373540856,96.1089494163,1.1673151751,0.0,0.0,1.94552529183,96.1089494163,1.94552529183,0.0,0.0,4.28015564202,95.719844358,0.0,0.0
CHR-1-Sequence-86,10.5058365759,22.5680933852,66.9260700389,0.0,0.0,8.94941634241,26.4591439689,64.2023346304,0.389105058366,0.0,8.56031128405,30.3501945525,61.0894941634,0.0,0.0
CHR-1-Sequence-87,0.389105058366,11.673151751,87.1595330739,0.778210116732,0.0,0.0,2.72373540856,96.1089494163,1.1673151751,0.0,0.778210116732,20.6225680934,78.5992217899,0.0,0.0
CHR-1-Sequence-91,8.56031128405,30.7392996109,59.9221789883,0.778210116732,0.0,6.61478599222,23.7354085603,68.8715953307,0.778210116732,0.0,11.2840466926,33.0739299611,55.6420233463,0.0,0.0
CHR-1-Sequence-92,7.78210116732,25.2918287938,66.9260700389,0.0,0.0,5.44747081712,21.4007782101,73.1517509728,0.0,0.0,6.22568093385,31.5175097276,61.8677042802,0.389105058366,0.0
CHR-1-Sequence-93,0.778210116732,12.8404669261,85.9922178988,0.389105058366,0.0,0.389105058366,8.94941634241,89.8832684825,0.778210116732,0.0,0.389105058366,19.0661478599,80.5447470817,0.0,0.0
CHR-1-Sequence-94,11.2840466926,31.906614786,56.0311284047,0.778210116732,0.0,8.94941634241,23.7354085603,66.9260700389,0.389105058366,0.0,11.2840466926,36.186770428,52.5291828794,0.0,0.0
CHR-1-Sequence-97,13.6186770428,28.4046692607,57.1984435798,0.778210116732,0.0,9.72762645914,29.1828793774,59.9221789883,0.778210116732,0.389105058366,10.1167315175,38.5214007782,51.3618677043,0.0,0.0
CHR-1-Sequence-98,4.66926070039,22.1789883268,71.9844357977,1.1673151751,0.0,1.94552529183,19.8443579767,77.4319066148,0.778210116732,0.0,5.83657587549,26.4591439689,67.7042801556,0.0,0.0
CHR-1-Sequence-101,2.72373540856,17.8988326848,78.9883268482,0.389105058366,0.0,1.94552529183,9.33852140078,87.1595330739,1.1673151751,0.389105058366,4.28015564202,24.1245136187,70.8171206226,0.389105058366,0.389105058366
CHR-1-Sequence-105,0.778210116732,20.6225680934,77.0428015564,1.55642023346,0.0,1.94552529183,15.5642023346,81.7120622568,0.778210116732,0.0,1.55642023346,20.233463035,77.4319066148,0.389105058366,0.389105058366
CHR-1-Sequence-106,10.5058365759,29.9610894942,59.1439688716,0.389105058366,0.0,7.78210116732,27.2373540856,64.2023346304,0.389105058366,0.389105058366,16.3424124514,34.2412451362,49.4163424125,0.0,0.0
CHR-1-Sequence-107,3.89105058366,24.1245136187,71.2062256809,0.778210116732,0.0,2.72373540856,25.6809338521,70.0389105058,1.55642023346,0.0,3.50194552529,21.7898832685,74.7081712062,0.0,0.0
CHR-1-Sequence-108,2.33463035019,18.6770428016,77.8210116732,1.1673151751,0.0,1.55642023346,13.6186770428,84.046692607,0.778210116732,0.0,1.1673151751,18.6770428016,79.766536965,0.389105058366,0.0
CHR-1-Sequence-112,0.389105058366,7.39299610895,90.6614785992,1.1673151751,0.389105058366,0.778210116732,5.44747081712,92.9961089494,0.778210116732,0.0,0.0,12.4513618677,85.9922178988,1.55642023346,0.0
CHR-1-Sequence-113,3.50194552529,21.0116731518,75.486381323,0.0,0.0,3.50194552529,21.0116731518,75.0972762646,0.389105058366,0.0,3.11284046693,25.6809338521,69.6498054475,1.1673151751,0.389105058366
CHR-1-Sequence-115,4.28015564202,17.5097276265,77.8210116732,0.389105058366,0.0,1.55642023346,18.6770428016,78.5992217899,1.1673151751,0.0,2.33463035019,22.1789883268,75.0972762646,0.389105058366,0.0
CHR-1-Sequence-116,10.1167315175,34.6303501946,54.4747081712,0.778210116732,0.0,7.39299610895,26.4591439689,65.7587548638,0.389105058366,0.0,10.8949416342,40.0778210117,48.6381322957,0.389105058366,0.0
CHR-1-Sequence-117,10.8949416342,35.7976653696,52.5291828794,0.778210116732,0.0,10.1167315175,27.2373540856,61.8677042802,0.778210116732,0.0,14.3968871595,35.7976653696,49.4163424125,0.389105058366,0.0
CHR-1-Sequence-121,9.72762645914,28.4046692607,61.8677042802,0.0,0.0,10.1167315175,22.9571984436,66.1478599222,0.778210116732,0.0,11.2840466926,33.4630350195,55.2529182879,0.0,0.0
CHR-1-Sequence-122,0.389105058366,5.05836575875,93.7743190661,0.778210116732,0.0,0.0,3.89105058366,95.3307392996,0.778210116732,0.0,0.0,4.66926070039,94.9416342412,0.389105058366,0.0
CHR-1-Sequence-123,13.6186770428,29.9610894942,55.6420233463,0.778210116732,0.0,10.5058365759,21.7898832685,67.3151750973,0.0,0.389105058366,12.0622568093,38.1322957198,49.8054474708,0.0,0.0
CHR-1-Sequence-124,13.6186770428,35.4085603113,50.5836575875,0.389105058366,0.0,11.2840466926,24.9027237354,63.0350194553,0.389105058366,0.389105058366,15.1750972763,36.186770428,48.6381322957,0.0,0.0
CHR-1-Sequence-125,5.44747081712,22.9571984436,71.2062256809,0.389105058366,0.0,3.50194552529,24.513618677,70.8171206226,0.0,1.1673151751,5.83657587549,25.6809338521,68.093385214,0.389105058366,0.0
CHR-1-Sequence-126,4.28015564202,24.513618677,70.8171206226,0.389105058366,0.0,2.72373540856,21.7898832685,75.0972762646,0.389105058366,0.0,4.28015564202,27.2373540856,68.4824902724,0.0,0.0
CHR-1-Sequence-127,12.4513618677,30.7392996109,56.0311284047,0.389105058366,0.389105058366,11.2840466926,29.9610894942,57.5875486381,0.778210116732,0.389105058366,8.94941634241,33.4630350195,57.1984435798,0.0,0.389105058366
CHR-1-Sequence-128,1.94552529183,19.8443579767,76.6536964981,1.55642023346,0.0,1.1673151751,17.1206225681,80.5447470817,1.1673151751,0.0,1.1673151751,22.5680933852,75.8754863813,0.389105058366,0.0
CHR-1-Sequence-129,3.11284046693,21.0116731518,75.0972762646,0.778210116732,0.0,0.389105058366,17.1206225681,80.9338521401,1.55642023346,0.0,4.28015564202,26.8482490272,68.093385214,0.389105058366,0.389105058366
CHR-1-Sequence-131,3.50194552529,24.9027237354,70.8171206226,0.778210116732,0.0,7.00389105058,24.513618677,68.093385214,0.389105058366,0.0,0.778210116732,23.7354085603,75.0972762646,0.389105058366,0.0
CHR-1-Sequence-132,4.66926070039,28.4046692607,66.1478599222,0.778210116732,0.0,6.22568093385,20.6225680934,71.9844357977,1.1673151751,0.0,7.39299610895,29.1828793774,62.6459143969,0.778210116732,0.0
CHR-1-Sequence-135,0.0,5.83657587549,92.6070038911,1.55642023346,0.0,0.0,1.94552529183,95.719844358,2.33463035019,0.0,0.0,9.33852140078,90.6614785992,0.0,0.0
CHR-1-Sequence-140,0.778210116732,19.0661478599,79.766536965,0.389105058366,0.0,0.389105058366,11.2840466926,87.5486381323,0.778210116732,0.0,1.94552529183,21.7898832685,75.8754863813,0.389105058366,0.0
CHR-1-Sequence-141,10.1167315175,29.5719844358,60.3112840467,0.0,0.0,6.22568093385,24.513618677,67.3151750973,1.1673151751,0.778210116732,16.3424124514,37.7431906615,45.9143968872,0.0,0.0
CHR-1-Sequence-142,0.389105058366,7.39299610895,90.2723735409,1.1673151751,0.778210116732,0.0,6.61478599222,92.6070038911,0.778210116732,0.0,0.778210116732,19.8443579767,79.3774319066,0.0,0.0
CHR-1-Sequence-143,1.1673151751,25.2918287938,73.1517509728,0.389105058366,0.0,1.94552529183,15.1750972763,82.1011673152,0.389105058366,0.389105058366,1.94552529183,25.2918287938,71.9844357977,0.389105058366,0.389105058366
CHR-1-Sequence-144,0.778210116732,19.0661478599,80.1556420233,0.0,0.0,1.94552529183,17.8988326848,80.1556420233,0.0,0.0,3.50194552529,21.7898832685,74.7081712062,0.0,0.0
CHR-1-Sequence-145,6.22568093385,24.9027237354,68.8715953307,0.0,0.0,4.66926070039,20.6225680934,74.7081712062,0.0,0.0,8.56031128405,30.7392996109,60.3112840467,0.389105058366,0.0
CHR-1-Sequence-147,0.0,0.778210116732,98.4435797665,0.0,0.778210116732,0.0,1.94552529183,97.2762645914,0.778210116732,0.0,0.0,3.11284046693,96.8871595331,0.0,0.0
CHR-1-Sequence-149,5.83657587549,30.3501945525,63.4241245136,0.0,0.389105058366,9.72762645914,26.4591439689,63.0350194553,0.0,0.778210116732,8.56031128405,29.5719844358,61.8677042802,0.0,0.0
CHR-1-Sequence-153,8.94941634241,27.626459144,63.4241245136,0.0,0.0,7.00389105058,26.4591439689,66.1478599222,0.389105058366,0.0,8.17120622568,32.6848249027,59.1439688716,0.0,0.0
CHR-1-Sequence-154,0.0,4.28015564202,93.7743190661,1.94552529183,0.0,0.389105058366,4.28015564202,94.1634241245,0.389105058366,0.778210116732,0.0,1.55642023346,96.8871595331,1.55642023346,0.0
CHR-1-Sequence-157,0.389105058366,15.953307393,83.6575875486,0.0,0.0,0.778210116732,13.6186770428,84.4357976654,1.1673151751,0.0,1.94552529183,12.8404669261,85.2140077821,0.0,0.0
CHR-1-Sequence-158,8.17120622568,26.0700389105,64.9805447471,0.778210116732,0.0,3.89105058366,24.1245136187,71.5953307393,0.389105058366,0.0,10.5058365759,29.9610894942,59.1439688716,0.0,0.389105058366
CHR-1-Sequence-159,9.72762645914,28.4046692607,61.0894941634,0.778210116732,0.0,3.50194552529,21.0116731518,75.0972762646,0.389105058366,0.0,13.6186770428,26.0700389105,59.9221789883,0.0,0.389105058366
CHR-1-Sequence-160,4.66926070039,26.8482490272,68.093385214,0.389105058366,0.0,5.44747081712,18.6770428016,75.8754863813,0.0,0.0,8.17120622568,28.7937743191,62.6459143969,0.389105058366,0.0
CHR-1-Sequence-162,0.389105058366,12.4513618677,85.6031128405,1.55642023346,0.0,0.0,3.11284046693,96.1089494163,0.778210116732,0.0,0.389105058366,15.5642023346,83.6575875486,0.389105058366,0.0
CHR-1-Sequence-163,3.11284046693,20.6225680934,75.8754863813,0.389105058366,0.0,2.72373540856,13.2295719844,82.4902723735,1.55642023346,0.0,6.61478599222,26.0700389105,66.9260700389,0.389105058366,0.0
CHR-1-Sequence-164,14.7859922179,25.2918287938,59.1439688716,0.389105058366,0.389105058366,9.33852140078,21.0116731518,69.2607003891,0.0,0.389105058366,15.1750972763,34.6303501946,49.4163424125,0.778210116732,0.0
CHR-1-Sequence-166,8.17120622568,28.4046692607,63.0350194553,0.389105058366,0.0,5.44747081712,28.4046692607,65.3696498054,0.389105058366,0.389105058366,10.5058365759,30.3501945525,59.1439688716,0.0,0.0
CHR-1-Sequence-168,4.66926070039,23.3463035019,71.9844357977,0.0,0.0,5.05836575875,21.4007782101,73.1517509728,0.389105058366,0.0,2.72373540856,26.0700389105,70.0389105058,1.1673151751,0.0
CHR-1-Sequence-171,3.50194552529,25.2918287938,70.8171206226,0.389105058366,0.0,1.55642023346,17.5097276265,79.3774319066,1.55642023346,0.0,5.83657587549,28.4046692607,65.7587548638,0.0,0.0
CHR-1-Sequence-172,5.44747081712,29.5719844358,64.9805447471,0.0,0.0,6.61478599222,26.0700389105,66.9260700389,0.389105058366,0.0,6.22568093385,28.0155642023,65.7587548638,0.0,0.0
CHR-1-Sequence-173,1.55642023346,18.2879377432,79.3774319066,0.778210116732,0.0,2.33463035019,23.3463035019,72.7626459144,1.55642023346,0.0,1.94552529183,15.953307393,81.3229571984,0.778210116732,0.0
CHR-1-Sequence-174,6.61478599222,25.6809338521,67.3151750973,0.389105058366,0.0,5.44747081712,25.2918287938,68.8715953307,0.389105058366,0.0,5.83657587549,28.7937743191,65.3696498054,0.0,0.0
CHR-1-Sequence-175,8.17120622568,24.513618677,66.9260700389,0.389105058366,0.0,6.61478599222,19.0661478599,74.3190661479,0.0,0.0,8.17120622568,25.6809338521,65.7587548638,0.389105058366,0.0
CHR-1-Sequence-176,4.28015564202,14.7859922179,79.766536965,1.1673151751,0.0,2.72373540856,14.0077821012,82.1011673152,0.778210116732,0.389105058366,3.50194552529,24.513618677,71.9844357977,0.0,0.0
CHR-1-Sequence-177,3.50194552529,20.6225680934,75.486381323,0.389105058366,0.0,1.94552529183,19.4552529183,77.0428015564,1.55642023346,0.0,4.66926070039,22.9571984436,72.373540856,0.0,0.0
CHR-1-Sequence-178,12.4513618677,29.9610894942,57.5875486381,0.0,0.0,10.8949416342,28.4046692607,59.53307393,0.389105058366,0.778210116732,13.2295719844,35.7976653696,50.9727626459,0.0,0.0
CHR-1-Sequence-181,11.673151751,29.1828793774,58.7548638132,0.389105058366,0.0,8.17120622568,29.9610894942,60.7003891051,0.778210116732,0.389105058366,12.8404669261,34.2412451362,52.9182879377,0.0,0.0
CHR-1-Sequence-182,6.61478599222,30.3501945525,62.2568093385,0.389105058366,0.389105058366,6.61478599222,26.4591439689,66.9260700389,0.0,0.0,11.2840466926,29.9610894942,58.7548638132,0.0,0.0
CHR-1-Sequence-185,6.61478599222,30.3501945525,62.2568093385,0.778210116732,0.0,6.22568093385,25.6809338521,68.093385214,0.0,0.0,9.72762645914,31.5175097276,58.7548638132,0.0,0.0
CHR-1-Sequence-186,5.44747081712,26.0700389105,67.7042801556,0.389105058366,0.389105058366,5.05836575875,24.1245136187,70.8171206226,0.0,0.0,5.05836575875,34.2412451362,60.3112840467,0.389105058366,0.0
CHR-1-Sequence-187,8.56031128405,23.3463035019,68.093385214,0.0,0.0,9.72762645914,31.906614786,58.3657587549,0.0,0.0,7.00389105058,20.6225680934,72.373540856,0.0,0.0
CHR-1-Sequence-191,15.1750972763,29.9610894942,53.6964980545,1.1673151751,0.0,7.78210116732,28.0155642023,63.0350194553,0.778210116732,0.389105058366,14.3968871595,35.4085603113,49.8054474708,0.389105058366,0.0
CHR-1-Sequence-193,7.78210116732,29.9610894942,61.8677042802,0.389105058366,0.0,3.50194552529,25.2918287938,70.8171206226,0.389105058366,0.0,7.39299610895,31.906614786,59.9221789883,0.778210116732,0.0
CHR-1-Sequence-194,14.7859922179,30.7392996109,54.0856031128,0.0,0.389105058366,12.4513618677,27.626459144,59.1439688716,0.389105058366,0.389105058366,14.3968871595,36.186770428,49.4163424125,0.0,0.0
CHR-1-Sequence-197,11.2840466926,30.7392996109,56.420233463,1.55642023346,0.0,10.1167315175,26.4591439689,63.0350194553,0.389105058366,0.0,10.8949416342,35.7976653696,53.3073929961,0.0,0.0
CHR-1-Sequence-198,2.33463035019,22.5680933852,74.7081712062,0.389105058366,0.0,1.1673151751,22.9571984436,74.7081712062,1.1673151751,0.0,3.50194552529,26.8482490272,68.8715953307,0.389105058366,0.389105058366
CHR-1-Sequence-199,0.389105058366,15.1750972763,83.2684824903,1.1673151751,0.0,1.94552529183,19.8443579767,77.8210116732,0.389105058366,0.0,1.1673151751,17.8988326848,80.9338521401,0.0,0.0
CHR-1-Sequence-202,5.05836575875,26.8482490272,68.093385214,0.0,0.0,2.33463035019,22.1789883268,75.0972762646,0.389105058366,0.0,8.17120622568,28.0155642023,63.4241245136,0.389105058366,0.0
CHR-1-Sequence-203,4.28015564202,22.9571984436,71.9844357977,0.778210116732,0.0,2.72373540856,19.0661478599,77.8210116732,0.389105058366,0.0,5.44747081712,24.513618677,70.0389105058,0.0,0.0
CHR-1-Sequence-209,1.55642023346,7.39299610895,90.6614785992,0.389105058366,0.0,0.0,5.44747081712,93.3852140078,0.778210116732,0.389105058366,1.1673151751,17.1206225681,81.7120622568,0.0,0.0
CHR-1-Sequence-213,0.389105058366,9.72762645914,89.4941634241,0.389105058366,0.0,0.0,5.05836575875,93.7743190661,1.1673151751,0.0,1.1673151751,18.2879377432,80.5447470817,0.0,0.0
