indexSequence,classCeratoP,classCeratoU,classH2,classH1
XP_016758910.1,0,1,1,1
CEJ93581.1,0,1,1,1
TEB27932.1,0,1,1,1
A0A364L9C3,0,1,1,1
XP_023449661.1,0,1,1,1
tr|A0A166E844|A0A166E844_9AGAM,0,1,1,1
A0A3R7JDN9,0,1,1,1
A0A060S2M0,0,1,1,1
XP_008100066.1,0,1,1,1
WP_076759640.1,0,1,1,1
R9ACB9,0,1,1,1
A0A409Y1F8,0,1,1,1
A0A2A9P6Y1,0,1,1,1
OIW27635.1,0,1,1,1
XP_024762013.1,0,1,1,1
TFI39227.1,0,1,1,1
KIE28729.1,0,1,1,1
OCT50574.1,0,1,1,1
TBU48960.1,0,1,1,1
A0A2B7WHU2,0,1,1,1
EQB46858.1,0,1,1,1
D4QDW9,0,1,1,1
TQW10839.1,0,1,1,1
TFK60752.1,0,1,1,1
APD13839.1,0,1,1,1
KPA36768.1,0,1,1,1
AJQ89204.1,0,1,1,1
WP_105925191.1,0,1,1,1
PMD17559.1,0,1,1,1
A0A2R6NLM1,0,1,1,1
A0A093UWB1,0,1,1,1
POO81720.1,0,1,1,1
KIJ53977.1,0,1,1,1
ABR15766.1,0,1,1,1
WP_014665809.1,0,1,1,1
A0A371DB76,0,1,1,1
K5WEB1,0,1,1,1
A0A2T3AXX5,0,1,1,1
KUL13997.1,0,1,1,1
R7S567,0,1,1,1
tr|A0A178ZN75|A0A178ZN75_9EURO,0,1,1,1
K5X107,0,1,1,1
KJZ72241.1,0,1,1,1
OLN87844.1,0,1,1,1
A8E0U1,0,1,1,1
XP_016258883.1,0,1,1,1
TFK82424.1,0,1,1,1
BBA78116.1,0,1,1,1
WP_061522371.1,0,1,1,1
G3Y0H9,0,1,1,1
XP_003714057.1,0,1,1,1
A0A0A7H6D5,0,1,1,1
A0A0A7H6D2,0,1,1,1
A0A060SCJ8,0,1,1,1
A0A067NFU6,0,1,1,1
M2PWK2,0,1,1,1
A0A292Q1W8,0,1,1,1
ESZ90224.1,0,1,1,1
KUM97069.1,0,1,1,1
OMD57935.1,0,1,1,1
OZQ85860.1,0,1,1,1
A0A093VCZ3,0,1,1,1
TFL01019.1,0,1,1,1
tr|A0A014P1Y3|A0A014P1Y3_9HYPO,0,1,1,1
B9DQW4,0,1,1,1
B9DQW6,0,1,1,1
RII15265.1,0,1,1,1
GBC64265.1,0,1,1,1
A0A286U5R1,0,1,1,1
CEL10428.1,0,1,1,1
A0A0A7H6E9,0,1,1,1
A0A409WUC1,0,1,1,1
PSN61481.1,0,1,1,1
E2LNR9,0,1,1,1
A9X655,0,1,1,1
A9X650,0,1,1,1
R1EQJ4,0,1,1,1
WP_049565144.1,0,1,1,1
A0A2V5HY06,0,1,1,1
A0A2R6NRG9,0,1,1,1
Q58IF5,0,1,1,1
XP_003348259.1,0,1,1,1
Q8TFE8,0,1,1,1
WP_060657820.1,0,1,1,1
B8MPD8,0,1,1,1
ATH72310.1,0,1,1,1
AIZ60264.1,0,1,1,1
A0A409W3C3,0,1,1,1
O59991,0,1,1,1
O59995,0,1,1,1
A0A2T3ANK1,0,1,1,1
tr|A0A428RPB8|A0A428RPB8_9HYPO,0,1,1,1
